A. Caruso CHI - PG,SG GTD,6.7,12.8,0.528,2.7,3.4,7,0.476,19.5,6.9,5.7,3.4,1.1,2.367,4.6
New Player Note V. Williams Jr. MEM - SG,3.7,7.8,0.469,2.9,1.5,5,0.305,11.8,8.4,2.6,0.6,1.7,2.14,4.9
"Player Note T. Brown Jr. MIN - SF,PF",5.9,13.9,0.426,3,3.2,8.4,0.377,18,10.7,3.3,1.6,0.3,1.926,3.2
"Player Note Z. Nnaji DEN - PF,C",1.3,2.6,0.492,0.7,0.2,0.7,0.345,3.5,2.2,0.3,0.2,0.3,0.75,1.3
"Player Note A. Holiday HOU - PG,SG",6.6,14.1,0.469,1.5,2.2,6.2,0.351,16.9,4.8,5.9,1.6,0.1,3.888,4.5
Player Note M. Wagner ORL - C,8.7,15.5,0.561,4.8,1.7,4.7,0.355,23.9,8.6,2.6,0.9,0.8,1.077,4.5
"Player Note C. Osman SAS - SF,PF",6.6,15.4,0.428,1.8,3.5,9.5,0.37,18.5,4.3,3.3,1.1,0.3,2.106,3.7
"Player Note J. Tate HOU - SF,PF",7,14.1,0.494,2,1.9,5.4,0.345,17.8,9.6,4,2.3,0.7,2.33,6.6
Player Note T. Camara POR - PF,7.3,17.7,0.414,3.3,2.2,7.5,0.293,20.1,12.3,3.5,2.2,1.5,1.082,7.6
"Player Note R. Holmes DAL - PF,C",7.2,12.9,0.563,2.3,0,0,0,16.7,16.4,1.7,0.9,3.6,0.536,11.2
Player Note J. Richardson MIA - SG GTD,8,17.6,0.456,2.9,2.9,8.4,0.353,21.9,6,6,1.5,0.7,2.342,3.7
"No new player Notes A. Wiggins OKC - SG,SF",4.6,9.1,0.508,2,1.3,3.7,0.361,12.6,5.5,2,0.9,0.2,1.389,2.7
No new player Notes T. Watford BKN - PF,3.5,6.2,0.561,1,0.3,1,0.342,8.2,4.5,2.1,0.6,0.3,1.537,2.4
"Player Note P. Reed PHI - PF,C",7.2,11.4,0.626,1.3,0.3,0.8,0.41,15.9,13.9,2.4,1.9,2.2,0.954,5
New Player Note S. Henderson POR - PG,10.5,27.1,0.389,4.5,2,8.4,0.24,27.5,8.4,11,1.6,0.7,1.386,8.2
No new player Notes J. Landale HOU - C,1.9,4.1,0.455,0.9,0.3,1.4,0.211,4.9,3.1,1.1,0.4,0.3,1.272,1.1
Player Note G. Niang CLE - PF,8.1,18.9,0.425,1.7,4.6,12,0.379,22.4,8.6,3,1,0.3,1.62,7.1
"Player Note I. Joe OKC - PG,SG",8.2,19.6,0.421,2.8,6.5,15.7,0.412,25.8,7.1,3,1.9,0.5,2.337,3.5
New Player Note N. Richards CHA - C,5.5,7.5,0.733,3.9,0,0,0,15,10.4,1,0.8,2.3,0.408,5.2
Player Note D. Jones Jr. DAL - SF,10.6,21.4,0.495,3.7,4.8,11.7,0.411,29.7,12.3,3,2.2,3,0.918,5.7
Player Note J. Gilyard MEM - PG,0.9,2.2,0.413,0.1,0.8,2,0.392,2.7,0.9,2.1,0.5,0.1,5.289,0.9
"Player Note J. Isaac ORL - SF,PF",3.2,7.5,0.431,2.5,0.8,3.4,0.233,9.8,6.9,0.5,1.5,2,0.483,2
Player Note S. Fontecchio UTA - SF,8,17.7,0.454,1.7,3.4,9.8,0.352,21.2,9.7,2.5,0.8,1.1,0.841,4.5
"Player Note L. Shamet WAS - PG,SG",8.8,20.2,0.437,1.9,5,13,0.387,24.6,4.5,4.4,1.3,0.4,2.758,4.8
Player Note C. Bassey SAS - C,2.5,3.6,0.685,0.5,0,0.1,0,5.4,6.9,1.6,0.6,1.5,1.305,2.9
"Player Note J. McDaniels TOR - SF,PF",2.3,5.8,0.407,0.8,0.8,2.7,0.292,6.3,3.2,1.2,0.5,0.5,1.538,2
Player Note C. Braun DEN - SG,8.1,16.8,0.482,2.6,1.5,4.3,0.361,20.4,9.3,4.1,1.5,0.8,1.699,4.8
"Player Note M. Branham SAS - PG,SG,SF",8.4,20.9,0.405,1.8,2.4,8,0.294,21,5.9,5.1,1.1,0.4,1.449,4.9
New Player Note P. Williams CHI - PF,12.1,26.7,0.452,6,3.9,10.6,0.365,34,15.3,4.5,3.6,2.4,1.133,6.3
"No new player Notes D. Terry CHI - SG,SF",2,4.6,0.429,0.7,0.5,1.5,0.31,5.1,3.8,2.5,0.5,0.1,3.102,1.6
"Player Note T. Eason HOU - SF,PF",8.5,18.8,0.453,3.3,2,5.5,0.361,22.3,15.2,2.7,2.6,1.9,0.945,5.6
"Player Note A. Griffin ATL - SG,SF",4.3,10.8,0.399,1.2,2.1,5.4,0.379,11.9,3.8,1.2,0.8,0.6,1.323,2.7
"New Player Note T. Horton-Tucker UTA - PG,SG,SF",9.8,25,0.392,4.3,2.8,9.7,0.293,26.7,8.4,11.6,2,1,1.999,5.8
"Player Note T. Mann LAC - SG,SF",10.6,22.3,0.475,3.1,2.3,8.2,0.283,26.6,12.2,7.5,2.6,1.1,2.923,6.2
"Player Note O. Agbaji UTA - PG,SG",6.3,14.7,0.432,2,2.8,7.8,0.36,17.5,6.9,2.8,1.4,1.1,1.349,4.9
"Player Note N. Reid MIN - PF,C",15,28.6,0.525,5.2,5.2,13.2,0.389,40.4,13.9,3.1,2.1,2.2,0.739,6.2
"Player Note D. Roddy MEM - SF,PF",11.4,25.4,0.45,2.3,2.9,9.4,0.308,28.1,12.1,4.4,1.8,1.2,1.425,6.2
"Player Note L. Dort OKC - SG,SF",11.1,27.3,0.407,6.5,5,14.1,0.356,33.8,12,4.3,2.7,1.6,1.293,8.2
"No new player Notes J. Konchar MEM - SG,SF",3.7,8.3,0.443,0.7,1.4,4,0.354,9.5,10.4,3.6,1.8,1.2,4.22,2.9
"No new player Notes G. Mathews ATL - SG,SF",1.7,4.6,0.364,0.9,1.5,4,0.382,5.8,2.1,0.5,0.4,0.2,1.658,1.6
"Player Note C. Martin MIA - SG,SF",11.1,24.6,0.452,3.2,3.4,9.8,0.347,28.7,11.2,4.6,2.8,0.8,1.596,5
"No new player Notes J. Davis WAS - SG,SF",3.1,7.2,0.435,1,0.5,1.8,0.298,7.8,3.3,1.2,0.8,0.3,1.216,1.9
"Player Note J. Sochan SAS - PG,PF",12.9,29.8,0.432,5.4,2.5,7.1,0.345,33.7,15.9,11.2,2.3,0.9,1.707,8.7
"No new player Notes A. Coffey LAC - SG,SF",0.6,1.5,0.428,0.4,0.2,0.7,0.283,1.8,0.7,0.4,0.1,0,2.02,0.3
"Player Note J. Ivey DET - PG,SG",13,28,0.466,7.9,3.4,9.3,0.37,37.4,8.4,9.4,2,1,1.603,8.6
"Player Note I. Okoro CLE - SG,SF",5.3,10.7,0.499,2.4,1.3,3.6,0.365,14.4,5.6,3.1,1.8,0.8,1.764,5.1
"Player Note J. Minott MIN - SF,PF",2.5,4.6,0.546,1,0.2,1.4,0.177,6.3,3.6,0.7,0.1,0.4,1.259,1.4
"Player Note J. Carter CHI - PG,SG",6.3,14.8,0.424,0.3,3.8,9.6,0.399,16.8,3.7,4.4,1.4,0.6,2.544,3.2
"Player Note P. Achiuwa TOR - PF,C",7.7,16.9,0.453,2.2,1.5,4.6,0.324,19,14.1,3.5,1.1,1.2,1.252,4.5
"Player Note G. Trent Jr. TOR - PG,SG",12.1,29,0.418,3.5,6.1,16,0.383,33.9,5.2,3.7,2.4,0.4,1.983,3.5
"No new player Notes M. Diabate LAC - PF,C",1,2,0.523,0.8,0,0.1,0,2.8,2.1,0.4,0.3,0.1,1.535,0.5
"Player Note S. Milton MIN - PG,SG",6.1,14.9,0.409,3.5,1.7,5.8,0.286,17.4,5.7,5,1.6,0.5,2.065,4.1
"Player Note B. McGowens CHA - SG,SF",4.5,9.3,0.489,1.7,2.2,4.9,0.441,13,6.6,2.2,0.8,0.7,1.381,3.2
"Player Note D. Robinson MIA - SG,SF",13.3,28.5,0.466,2.7,8.9,20.7,0.431,38.1,7.3,6.3,1.1,0.4,2.541,6.9
"No new player Notes K. Williams OKC - SF,PF",5.4,11.1,0.491,1,1.8,4.4,0.41,13.7,7.9,4.2,1.4,0.2,3.699,4.4
"No new player Notes J. Hardy DAL - PG,SG",10.2,24.6,0.416,5.4,3.7,10.9,0.335,29.5,7.4,4.2,1.3,1.8,1.098,5.2
"Player Note J. Williams OKC - PF,C",5.1,10.7,0.474,1.7,1.4,4.3,0.331,13.3,10.6,2.9,0.7,1.4,1.99,4
"Player Note H. Highsmith MIA - SF,PF GTD",4.8,12.1,0.394,1.1,2.4,7.3,0.332,13,6.3,2.6,1.6,1.2,1.639,3.9
"Player Note P. Watson DEN - SG,SF",4.8,9.9,0.483,1.5,0.8,2.7,0.282,11.9,5.3,1.9,1,2,1.094,3.7
